,precision,recall,f1-score,support
alternate picking,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
legato,0.7222222222222222,0.7222222222222222,0.7222222222222222,18.0
tapping,0.75,0.8333333333333334,0.7894736842105263,18.0
sweep picking,1.0,0.7777777777777778,0.875,9.0
vibrato,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
hammer on,0.0,0.0,0.0,9.0
pull off,0.0,0.0,0.0,9.0
slide,1.0,0.3333333333333333,0.5,9.0
bend,1.0,1.0,1.0,9.0
accuracy,0.6574074074074074,0.6574074074074074,0.6574074074074074,0.6574074074074074
macro avg,0.6882716049382717,0.5987654320987654,0.6232131254061078,108.0
weighted avg,0.7175925925925926,0.6574074074074074,0.6720882066276803,108.0
