,precision,recall,f1-score,support
alternate picking,0.9310344827586207,1.0,0.9642857142857143,27.0
legato,1.0,0.7407407407407407,0.851063829787234,27.0
tapping,0.8666666666666667,0.9629629629629629,0.9122807017543859,27.0
sweep picking,1.0,0.8333333333333334,0.9090909090909091,12.0
vibrato,1.0,0.8333333333333334,0.9090909090909091,18.0
hammer on,0.7222222222222222,0.7222222222222222,0.7222222222222222,18.0
pull off,0.8,0.6666666666666666,0.7272727272727273,18.0
slide,0.6428571428571429,1.0,0.782608695652174,18.0
bend,1.0,1.0,1.0,18.0
accuracy,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8688524590163934
macro avg,0.8847533905005169,0.8621399176954733,0.8642128565729196,183.0
weighted avg,0.8880292874639965,0.8688524590163934,0.8693803799055384,183.0
