,precision,recall,f1-score,support
alternate picking,0.9642857142857143,1.0,0.9818181818181818,27.0
legato,1.0,0.9259259259259259,0.9615384615384616,27.0
tapping,1.0,1.0,1.0,27.0
sweep picking,0.9230769230769231,1.0,0.96,12.0
vibrato,1.0,1.0,1.0,18.0
hammer on,0.9473684210526315,1.0,0.972972972972973,18.0
pull off,1.0,0.9444444444444444,0.9714285714285714,18.0
slide,1.0,1.0,1.0,18.0
bend,1.0,1.0,1.0,18.0
accuracy,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492
macro avg,0.9816367842683632,0.98559670781893,0.9830842430842431,183.0
weighted avg,0.9845096663474576,0.9836065573770492,0.9835511320757221,183.0
