,precision,recall,f1-score,support
alternate picking,1.0,1.0,1.0,18.0
legato,0.9166666666666666,0.6111111111111112,0.7333333333333333,18.0
tapping,0.7083333333333334,0.9444444444444444,0.8095238095238095,18.0
sweep picking,1.0,1.0,1.0,9.0
vibrato,1.0,1.0,1.0,9.0
hammer on,1.0,0.6666666666666666,0.8,9.0
pull off,0.75,1.0,0.8571428571428571,9.0
slide,1.0,1.0,1.0,9.0
bend,1.0,1.0,1.0,9.0
accuracy,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.8981481481481481
macro avg,0.9305555555555556,0.9135802469135802,0.911111111111111,108.0
weighted avg,0.9166666666666666,0.8981481481481481,0.8952380952380952,108.0
