,precision,recall,f1-score,support
alternate picking,0.9642857142857143,1.0,0.9818181818181818,27.0
legato,0.95,0.7037037037037037,0.8085106382978723,27.0
tapping,0.8125,0.9629629629629629,0.8813559322033898,27.0
sweep picking,0.9230769230769231,1.0,0.96,12.0
vibrato,1.0,1.0,1.0,18.0
hammer on,0.5,0.9444444444444444,0.6538461538461539,18.0
pull off,0.5,0.05555555555555555,0.1,18.0
slide,0.9,1.0,0.9473684210526315,18.0
bend,1.0,0.8888888888888888,0.9411764705882353,18.0
accuracy,0.8415300546448088,0.8415300546448088,0.8415300546448088,0.8415300546448088
macro avg,0.8388736263736263,0.8395061728395061,0.8082306442007182,183.0
weighted avg,0.8464488380471987,0.8415300546448088,0.8154017876032313,183.0
