,precision,recall,f1-score,support
alternate picking,1.0,1.0,1.0,27.0
legato,0.9,1.0,0.9473684210526315,27.0
tapping,1.0,0.8888888888888888,0.9411764705882353,27.0
sweep picking,1.0,1.0,1.0,12.0
vibrato,1.0,1.0,1.0,18.0
hammer on,1.0,0.2777777777777778,0.43478260869565216,18.0
pull off,0.5806451612903226,1.0,0.7346938775510204,18.0
slide,1.0,1.0,1.0,18.0
bend,1.0,1.0,1.0,18.0
accuracy,0.912568306010929,0.912568306010929,0.912568306010929,0.912568306010929
macro avg,0.9422939068100358,0.9074074074074073,0.8953357086541709,183.0
weighted avg,0.9439978847170809,0.912568306010929,0.901864966266358,183.0
