,precision,recall,f1-score,support
alternate picking,1.0,1.0,1.0,18.0
legato,0.46153846153846156,0.3333333333333333,0.3870967741935484,18.0
tapping,0.4782608695652174,0.6111111111111112,0.5365853658536586,18.0
sweep picking,1.0,0.8888888888888888,0.9411764705882353,9.0
vibrato,0.9,1.0,0.9473684210526315,9.0
hammer on,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
pull off,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
slide,1.0,1.0,1.0,9.0
bend,1.0,1.0,1.0,9.0
accuracy,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
macro avg,0.8217060985176927,0.8209876543209876,0.8186425096937366,108.0
weighted avg,0.7779295181469095,0.7777777777777778,0.7742887272742365,108.0
