,precision,recall,f1-score,support
alternate picking,1.0,1.0,1.0,90.0
legato,0.9777777777777777,0.9777777777777777,0.9777777777777777,90.0
tapping,1.0,0.9444444444444444,0.9714285714285714,90.0
sweep picking,0.9565217391304348,0.9777777777777777,0.967032967032967,45.0
vibrato,0.975,0.8666666666666667,0.9176470588235294,45.0
hammer on,0.7719298245614035,0.9777777777777777,0.8627450980392157,45.0
pull off,0.925,0.8222222222222222,0.8705882352941177,45.0
slide,0.9574468085106383,1.0,0.9782608695652174,45.0
bend,1.0,1.0,1.0,45.0
accuracy,0.9574074074074074,0.9574074074074074,0.9574074074074074,0.9574074074074074
macro avg,0.9515195722200281,0.9518518518518518,0.9494978419957106,540.0
weighted avg,0.9617878273131693,0.9574074074074074,0.9578905772639789,540.0
