,precision,recall,f1-score,support
alternate picking,0.9473684210526315,1.0,0.972972972972973,18.0
legato,1.0,0.7222222222222222,0.8387096774193549,18.0
tapping,0.6666666666666666,1.0,0.8,18.0
sweep picking,1.0,0.7777777777777778,0.875,9.0
vibrato,1.0,0.7777777777777778,0.875,9.0
hammer on,0.07692307692307693,0.1111111111111111,0.09090909090909091,9.0
pull off,0.2,0.2222222222222222,0.21052631578947367,9.0
slide,1.0,0.3333333333333333,0.5,9.0
bend,1.0,1.0,1.0,9.0
accuracy,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222
macro avg,0.7656620182935971,0.6604938271604939,0.6847908952323214,108.0
weighted avg,0.7920827710301395,0.7222222222222222,0.7312333922902683,108.0
