,precision,recall,f1-score,support
alternate picking,0.9642857142857143,1.0,0.9818181818181818,27.0
legato,0.7222222222222222,0.48148148148148145,0.5777777777777777,27.0
tapping,0.6875,0.8148148148148148,0.7457627118644068,27.0
sweep picking,0.8,1.0,0.8888888888888888,12.0
vibrato,1.0,0.9444444444444444,0.9714285714285714,18.0
hammer on,0.5294117647058824,1.0,0.6923076923076923,18.0
pull off,1.0,0.16666666666666666,0.2857142857142857,18.0
slide,0.9473684210526315,1.0,0.972972972972973,18.0
bend,1.0,0.9444444444444444,0.9714285714285714,18.0
accuracy,0.8032786885245902,0.8032786885245902,0.8032786885245902,0.8032786885245902
macro avg,0.8500875691407166,0.8168724279835391,0.7875666282445943,183.0
weighted avg,0.8430615171003691,0.8032786885245902,0.7814245272428101,183.0
