,precision,recall,f1-score,support
alternate picking,1.0,1.0,1.0,27.0
legato,0.68,0.6296296296296297,0.6538461538461539,27.0
tapping,0.6666666666666666,0.7407407407407407,0.7017543859649122,27.0
sweep picking,1.0,0.9166666666666666,0.9565217391304348,12.0
vibrato,1.0,0.8888888888888888,0.9411764705882353,18.0
hammer on,0.8,0.2222222222222222,0.34782608695652173,18.0
pull off,0.5333333333333333,0.8888888888888888,0.6666666666666666,18.0
slide,0.782608695652174,1.0,0.8780487804878049,18.0
bend,1.0,0.8888888888888888,0.9411764705882353,18.0
accuracy,0.7923497267759563,0.7923497267759563,0.7923497267759563,0.7923497267759563
macro avg,0.8291787439613526,0.7973251028806584,0.7874463060254405,183.0
weighted avg,0.8166500356379188,0.7923497267759563,0.7815714535499365,183.0
