,precision,recall,f1-score,support
alternate picking,1.0,1.0,1.0,27.0
legato,0.9,0.6666666666666666,0.7659574468085106,27.0
tapping,0.7352941176470589,0.9259259259259259,0.819672131147541,27.0
sweep picking,1.0,0.9166666666666666,0.9565217391304348,12.0
vibrato,1.0,1.0,1.0,18.0
hammer on,1.0,0.3888888888888889,0.56,18.0
pull off,0.6206896551724138,1.0,0.7659574468085106,18.0
slide,0.9473684210526315,1.0,0.972972972972973,18.0
bend,1.0,1.0,1.0,18.0
accuracy,0.8743169398907104,0.8743169398907104,0.8743169398907104,0.8743169398907104
macro avg,0.9114835770969005,0.8775720164609053,0.8712313040964411,183.0
weighted avg,0.9037048445274393,0.8743169398907104,0.867054683226477,183.0
