,precision,recall,f1-score,support
alternate picking,1.0,1.0,1.0,135.0
legato,0.8055555555555556,0.6444444444444445,0.7160493827160493,135.0
tapping,0.9304347826086956,0.7925925925925926,0.856,135.0
sweep picking,0.8787878787878788,0.9666666666666667,0.9206349206349206,60.0
vibrato,0.6513761467889908,0.7888888888888889,0.7135678391959799,90.0
hammer on,0.39705882352941174,0.6,0.4778761061946903,90.0
pull off,0.4888888888888889,0.24444444444444444,0.32592592592592595,90.0
slide,0.6339285714285714,0.7888888888888889,0.7029702970297029,90.0
bend,0.9887640449438202,0.9777777777777777,0.9832402234636871,90.0
accuracy,0.7573770491803279,0.7573770491803279,0.7573770491803279,0.7573770491803279
macro avg,0.7527549658368682,0.7559670781893004,0.7440294105734395,915.0
weighted avg,0.7721174329853749,0.7573770491803279,0.7549584668499024,915.0
