,precision,recall,f1-score,support
alternate picking,1.0,1.0,1.0,135.0
legato,0.9172932330827067,0.9037037037037037,0.9104477611940298,135.0
tapping,0.9774436090225563,0.9629629629629629,0.9701492537313433,135.0
sweep picking,0.7142857142857143,0.6666666666666666,0.6896551724137931,60.0
vibrato,0.8444444444444444,0.8444444444444444,0.8444444444444444,90.0
hammer on,0.36936936936936937,0.45555555555555555,0.4079601990049751,90.0
pull off,0.6578947368421053,0.2777777777777778,0.390625,90.0
slide,0.6716417910447762,1.0,0.8035714285714286,90.0
bend,1.0,0.9444444444444444,0.9714285714285714,90.0
accuracy,0.8131147540983606,0.8131147540983606,0.8131147540983606,0.8131147540983606
macro avg,0.7947080997879635,0.7839506172839505,0.7764757589765096,915.0
weighted avg,0.8224569915785966,0.8131147540983606,0.8064290440111482,915.0
