,precision,recall,f1-score,support
alternate picking,1.0,1.0,1.0,135.0
legato,0.832258064516129,0.9555555555555556,0.8896551724137931,135.0
tapping,0.9425287356321839,0.6074074074074074,0.7387387387387387,135.0
sweep picking,1.0,0.9666666666666667,0.9830508474576272,60.0
vibrato,0.8490566037735849,1.0,0.9183673469387755,90.0
hammer on,0.9310344827586207,0.3,0.453781512605042,90.0
pull off,0.42105263157894735,0.7111111111111111,0.5289256198347108,90.0
slide,0.8737864077669902,1.0,0.9326424870466321,90.0
bend,1.0,1.0,1.0,90.0
accuracy,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.8360655737704918
macro avg,0.8721907695584952,0.8378600823045268,0.827240191670591,915.0
weighted avg,0.87578134355088,0.8360655737704918,0.8293450883402338,915.0
