,precision,recall,f1-score,support
alternate picking,0.9615384615384616,0.9259259259259259,0.9433962264150944,27.0
legato,0.6129032258064516,0.7037037037037037,0.6551724137931034,27.0
tapping,0.7272727272727273,0.5925925925925926,0.6530612244897959,27.0
sweep picking,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
vibrato,0.8823529411764706,0.8333333333333334,0.8571428571428571,18.0
hammer on,0.6190476190476191,0.7222222222222222,0.6666666666666666,18.0
pull off,0.5882352941176471,0.5555555555555556,0.5714285714285714,18.0
slide,0.9,1.0,0.9473684210526315,18.0
bend,1.0,1.0,1.0,18.0
accuracy,0.7868852459016393,0.7868852459016393,0.7868852459016393,0.7868852459016393
macro avg,0.8000490197833652,0.7962962962962963,0.7959779553755584,183.0
weighted avg,0.791632926130702,0.7868852459016393,0.7868617827801889,183.0
