,precision,recall,f1-score,support
alternate picking,0.9285714285714286,0.9629629629629629,0.9454545454545454,27.0
legato,0.8846153846153846,0.8518518518518519,0.8679245283018868,27.0
tapping,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0
sweep picking,1.0,1.0,1.0,12.0
vibrato,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
hammer on,0.2857142857142857,0.1111111111111111,0.16,18.0
pull off,0.4444444444444444,0.6666666666666666,0.5333333333333333,18.0
slide,0.9473684210526315,1.0,0.972972972972973,18.0
bend,1.0,1.0,1.0,18.0
accuracy,0.825136612021858,0.825136612021858,0.825136612021858,0.825136612021858
macro avg,0.8041447398172544,0.8209876543209877,0.8056062389815011,183.0
weighted avg,0.8101464253319302,0.825136612021858,0.8114496669151788,183.0
