,precision,recall,f1-score,support
alternate picking,1.0,1.0,1.0,27.0
legato,0.8064516129032258,0.9259259259259259,0.8620689655172413,27.0
tapping,0.9545454545454546,0.7777777777777778,0.8571428571428571,27.0
sweep picking,0.9230769230769231,1.0,0.96,12.0
vibrato,1.0,0.9444444444444444,0.9714285714285714,18.0
hammer on,0.6,0.3333333333333333,0.42857142857142855,18.0
pull off,0.5,0.7777777777777778,0.6086956521739131,18.0
slide,1.0,0.9444444444444444,0.9714285714285714,18.0
bend,1.0,1.0,1.0,18.0
accuracy,0.8579234972677595,0.8579234972677595,0.8579234972677595,0.8579234972677595
macro avg,0.8648971100584004,0.8559670781893005,0.8510373384736203,183.0
weighted avg,0.871168545890915,0.8579234972677595,0.8556336351730457,183.0
