,precision,recall,f1-score,support
alternate picking,1.0,1.0,1.0,27.0
legato,1.0,0.1111111111111111,0.2,27.0
tapping,0.5208333333333334,0.9259259259259259,0.6666666666666666,27.0
sweep picking,0.0,0.0,0.0,12.0
vibrato,1.0,0.2777777777777778,0.43478260869565216,18.0
hammer on,0.5769230769230769,0.8333333333333334,0.6818181818181818,18.0
pull off,1.0,0.2777777777777778,0.43478260869565216,18.0
slide,0.35294117647058826,1.0,0.5217391304347826,18.0
bend,1.0,1.0,1.0,18.0
accuracy,0.6338797814207651,0.6338797814207651,0.6338797814207651,0.6338797814207651
macro avg,0.7167441763029999,0.602880658436214,0.5488654662567706,183.0
weighted avg,0.7584702544321638,0.6338797814207651,0.5776841832436985,183.0
