,precision,recall,f1-score,support
alternate picking,0.9642857142857143,1.0,0.9818181818181818,27.0
legato,0.7222222222222222,0.9629629629629629,0.8253968253968254,27.0
tapping,1.0,0.6296296296296297,0.7727272727272727,27.0
sweep picking,1.0,1.0,1.0,12.0
vibrato,1.0,1.0,1.0,18.0
hammer on,0.8666666666666667,0.7222222222222222,0.7878787878787878,18.0
pull off,0.7619047619047619,0.8888888888888888,0.8205128205128205,18.0
slide,0.9473684210526315,1.0,0.972972972972973,18.0
bend,1.0,0.9444444444444444,0.9714285714285714,18.0
accuracy,0.8961748633879781,0.8961748633879781,0.8961748633879781,0.8961748633879781
macro avg,0.9180497540146663,0.9053497942386832,0.9036372703039368,183.0
weighted avg,0.9120362381363244,0.8961748633879781,0.8940367120694989,183.0
