,precision,recall,f1-score,support
alternate picking,1.0,1.0,1.0,27.0
legato,0.8181818181818182,0.3333333333333333,0.47368421052631576,27.0
tapping,0.5813953488372093,0.9259259259259259,0.7142857142857143,27.0
sweep picking,1.0,1.0,1.0,12.0
vibrato,1.0,0.8333333333333334,0.9090909090909091,18.0
hammer on,0.8333333333333334,0.5555555555555556,0.6666666666666666,18.0
pull off,0.68,0.9444444444444444,0.7906976744186046,18.0
slide,0.8181818181818182,1.0,0.9,18.0
bend,1.0,0.8888888888888888,0.9411764705882353,18.0
accuracy,0.8142076502732241,0.8142076502732241,0.8142076502732241,0.8142076502732241
macro avg,0.8590102576149089,0.831275720164609,0.8217335161751608,183.0
weighted avg,0.8456604165944617,0.8142076502732241,0.8022544204572911,183.0
