,precision,recall,f1-score,support
alternate picking,1.0,1.0,1.0,135.0
legato,1.0,0.5851851851851851,0.7383177570093458,135.0
tapping,0.944954128440367,0.762962962962963,0.8442622950819673,135.0
sweep picking,1.0,0.5166666666666667,0.6813186813186813,60.0
vibrato,0.9027777777777778,0.7222222222222222,0.8024691358024691,90.0
hammer on,0.5876288659793815,0.6333333333333333,0.6096256684491979,90.0
pull off,1.0,0.2111111111111111,0.3486238532110092,90.0
slide,0.3103448275862069,1.0,0.47368421052631576,90.0
bend,1.0,0.9222222222222223,0.9595375722543352,90.0
accuracy,0.7234972677595628,0.7234972677595628,0.7234972677595628,0.7234972677595628
macro avg,0.8606339555315259,0.7059670781893004,0.7175376859614802,915.0
weighted avg,0.8739196062954672,0.7234972677595628,0.7398711120583034,915.0
