,precision,recall,f1-score,support
alternate picking,1.0,1.0,1.0,135.0
legato,0.6344086021505376,0.8740740740740741,0.735202492211838,135.0
tapping,1.0,0.3333333333333333,0.5,135.0
sweep picking,0.9333333333333333,0.7,0.8,60.0
vibrato,0.8571428571428571,0.9333333333333333,0.8936170212765957,90.0
hammer on,0.8208955223880597,0.6111111111111112,0.7006369426751592,90.0
pull off,0.8235294117647058,0.6222222222222222,0.7088607594936709,90.0
slide,0.47368421052631576,1.0,0.6428571428571429,90.0
bend,1.0,0.9,0.9473684210526315,90.0
accuracy,0.7715846994535519,0.7715846994535519,0.7715846994535519,0.7715846994535519
macro avg,0.8381104374784232,0.7748971193415639,0.7698380866185599,915.0
weighted avg,0.8408938157970459,0.7715846994535519,0.7651944943284876,915.0
