experiment_id,fold,seed,accuracy,repo_f1,sklearn_macro_f1,train_seconds,model_params
experiment_3,dc-modern,0,0.7704918032786885,0.8041254810210128,0.7436248452281181,181.67555403709412,118985
experiment_3,dc-modern,1,0.7540983606557377,0.8072976054732041,0.7597492968336957,173.65567684173584,118985
experiment_3,dc-modern,2,0.6775956284153005,0.7408037256192015,0.6701126102968574,173.7739987373352,118985
experiment_3,dc-modern,3,0.7103825136612022,0.7668828729282694,0.6986394847242088,158.26473379135132,118985
experiment_3,dc-modern,4,0.7049180327868853,0.7598507756100985,0.6983389546008142,162.14050221443176,118985
experiment_3,sl100,0,0.726775956284153,0.7096655880510108,0.6665092436743529,163.11826181411743,118985
experiment_3,sl100,1,0.6994535519125683,0.7053538271268864,0.6322662966373659,170.92334294319153,118985
experiment_3,sl100,2,0.8360655737704918,0.7841625409192977,0.7592468098350451,163.21684384346008,118985
experiment_3,sl100,3,0.7595628415300546,0.741296761029672,0.6938610527665864,166.51442098617554,118985
experiment_3,sl100,4,0.7868852459016393,0.7519076681116078,0.7175280723501424,219.82630610466003,118985
experiment_3,plexiglass,0,0.8306010928961749,0.8465513047026291,0.8257502175444595,891.4230308532715,118985
experiment_3,plexiglass,1,0.7704918032786885,0.8008615809683793,0.7697884924300019,218.6588490009308,118985
experiment_3,plexiglass,2,0.8142076502732241,0.8381291693534955,0.8134884571825983,218.15562391281128,118985
experiment_3,plexiglass,3,0.6612021857923497,0.7341913498984015,0.6509220471334809,222.72980308532715,118985
experiment_3,plexiglass,4,0.7814207650273224,0.8224702735785747,0.7792134227428344,223.2277488708496,118985
