,precision,recall,f1-score,support
alternate picking,1.0,0.9703703703703703,0.9849624060150376,135.0
legato,0.974025974025974,0.5555555555555556,0.7075471698113207,135.0
tapping,0.6074766355140186,0.9629629629629629,0.7449856733524355,135.0
sweep picking,0.0,0.0,0.0,60.0
vibrato,0.7850467289719626,0.9333333333333333,0.8527918781725888,90.0
hammer on,0.8787878787878788,0.32222222222222224,0.4715447154471545,90.0
pull off,0.4583333333333333,0.9777777777777777,0.624113475177305,90.0
slide,0.9863013698630136,0.8,0.8834355828220859,90.0
bend,1.0,0.9777777777777777,0.9887640449438202,90.0
accuracy,0.7617486338797814,0.7617486338797814,0.7617486338797814,0.7617486338797814
macro avg,0.7433302133884645,0.7222222222222222,0.6953494384157498,915.0
weighted avg,0.7849891696983125,0.7617486338797814,0.7354320560981454,915.0
