,precision,recall,f1-score,support
alternate picking,0.8709677419354839,1.0,0.9310344827586207,27.0
legato,1.0,0.5555555555555556,0.7142857142857143,27.0
tapping,0.78125,0.9259259259259259,0.847457627118644,27.0
sweep picking,0.8571428571428571,1.0,0.9230769230769231,12.0
vibrato,1.0,0.8888888888888888,0.9411764705882353,18.0
hammer on,0.6153846153846154,0.8888888888888888,0.7272727272727273,18.0
pull off,0.8181818181818182,0.5,0.6206896551724138,18.0
slide,0.9,1.0,0.9473684210526315,18.0
bend,1.0,1.0,1.0,18.0
accuracy,0.8524590163934426,0.8524590163934426,0.8524590163934426,0.8524590163934426
macro avg,0.8714363369605306,0.8621399176954733,0.85026244681399,183.0
weighted avg,0.8737693394653998,0.8524590163934426,0.8450221599064024,183.0
