,precision,recall,f1-score,support
alternate picking,0.9310344827586207,1.0,0.9642857142857143,27.0
legato,0.7058823529411765,0.8888888888888888,0.7868852459016393,27.0
tapping,0.9,0.6666666666666666,0.7659574468085106,27.0
sweep picking,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
vibrato,1.0,0.8888888888888888,0.9411764705882353,18.0
hammer on,0.7727272727272727,0.9444444444444444,0.85,18.0
pull off,0.9285714285714286,0.7222222222222222,0.8125,18.0
slide,1.0,1.0,1.0,18.0
bend,1.0,1.0,1.0,18.0
accuracy,0.8852459016393442,0.8852459016393442,0.8852459016393442,0.8852459016393442
macro avg,0.9060980226294628,0.8919753086419754,0.8930523938056408,183.0
weighted avg,0.8968313179632302,0.8852459016393442,0.8843095271009649,183.0
