,precision,recall,f1-score,support
alternate picking,1.0,0.9259259259259259,0.9615384615384616,27.0
legato,0.8260869565217391,0.7037037037037037,0.76,27.0
tapping,0.75,0.8888888888888888,0.8135593220338984,27.0
sweep picking,1.0,0.9166666666666666,0.9565217391304348,12.0
vibrato,1.0,0.8333333333333334,0.9090909090909091,18.0
hammer on,0.47619047619047616,0.5555555555555556,0.5128205128205128,18.0
pull off,0.56,0.7777777777777778,0.6511627906976745,18.0
slide,0.9230769230769231,0.6666666666666666,0.7741935483870968,18.0
bend,1.0,1.0,1.0,18.0
accuracy,0.8087431693989071,0.8087431693989071,0.8087431693989071,0.8087431693989071
macro avg,0.837261595087682,0.8076131687242798,0.8154319204109987,183.0
weighted avg,0.8350883115459025,0.8087431693989071,0.8151733372893465,183.0
