feat_idx,file_name,file_path,class_name,label
0,class_0_carvin_dc-modern_1.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_dc-modern_1.wav,alternate picking,0
1,class_0_carvin_dc-modern_1_1.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_dc-modern_1_1.wav,alternate picking,0
2,class_0_carvin_dc-modern_1_2.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_dc-modern_1_2.wav,alternate picking,0
3,class_0_carvin_dc-modern_2.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_dc-modern_2.wav,alternate picking,0
4,class_0_carvin_dc-modern_2_1.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_dc-modern_2_1.wav,alternate picking,0
5,class_0_carvin_dc-modern_2_2.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_dc-modern_2_2.wav,alternate picking,0
6,class_0_carvin_dc-modern_3.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_dc-modern_3.wav,alternate picking,0
7,class_0_carvin_dc-modern_3_1.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_dc-modern_3_1.wav,alternate picking,0
8,class_0_carvin_dc-modern_3_2.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_dc-modern_3_2.wav,alternate picking,0
9,class_0_carvin_plexiglass_1.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_plexiglass_1.wav,alternate picking,0
10,class_0_carvin_plexiglass_1_1.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_plexiglass_1_1.wav,alternate picking,0
11,class_0_carvin_plexiglass_1_2.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_plexiglass_1_2.wav,alternate picking,0
12,class_0_carvin_plexiglass_2.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_plexiglass_2.wav,alternate picking,0
13,class_0_carvin_plexiglass_2_1.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_plexiglass_2_1.wav,alternate picking,0
14,class_0_carvin_plexiglass_2_2.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_plexiglass_2_2.wav,alternate picking,0
15,class_0_carvin_plexiglass_3.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_plexiglass_3.wav,alternate picking,0
16,class_0_carvin_plexiglass_3_1.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_plexiglass_3_1.wav,alternate picking,0
17,class_0_carvin_plexiglass_3_2.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_plexiglass_3_2.wav,alternate picking,0
18,class_0_carvin_sl100_1.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_sl100_1.wav,alternate picking,0
19,class_0_carvin_sl100_1_1.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_sl100_1_1.wav,alternate picking,0
20,class_0_carvin_sl100_1_2.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_sl100_1_2.wav,alternate picking,0
21,class_0_carvin_sl100_2.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_sl100_2.wav,alternate picking,0
22,class_0_carvin_sl100_2_1.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_sl100_2_1.wav,alternate picking,0
23,class_0_carvin_sl100_2_2.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_sl100_2_2.wav,alternate picking,0
24,class_0_carvin_sl100_3.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_sl100_3.wav,alternate picking,0
25,class_0_carvin_sl100_3_1.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_sl100_3_1.wav,alternate picking,0
26,class_0_carvin_sl100_3_2.wav,/Users/juansantiago/Desktop/MIT Classes 2023-2027/Spring 2026/6.S955/FinalProject/6.S955_project/guitar_style_dataset/magcil-guitar_style_dataset-eb27d7b/data/wav/alternate picking/class_0_carvin_sl100_3_2.wav,alternate picking,0
